,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSS_00043,4.06326861745317,1.09084816908015,1.35388551866356,0.805716697639948,0.420406219423166,0.643838895480233
TSS_00070,106.393913095926,1.48508268304071,0.524684789739806,2.83042831063804,0.00464857274922663,0.0203607486416126
TSS_00144,12.1675489223822,0.95434242075056,0.849196784120939,1.12381775178113,0.261090349038799,0.502409820035594
TSS_00150,3.41579461885767,2.08742075959162,1.54937273074854,1.34726829649514,0.177893838862506,0.393522734453422
TSS_00196,57.3843627302531,-1.46849325117115,0.510531663017008,-2.87639995234189,0.00402239686133584,0.0187426577155862
TSS_00328,4.15589436262048,5.68605188738168,1.91721727666684,2.9657837724408,0.0030191267332151,0.0146930834349801
TSS_00365,10.8541746552582,0.81557330538829,0.869101242023966,0.938410010195106,0.348033743597906,0.590847983317375
TSS_00443,2.10144508538307,1.9209961564921,1.90790720490236,1.00686037117325,0.314001878084961,NA
TSS_00471,12.1264990392964,-2.39113883949522,0.935671838089937,-2.55553148246552,0.0106025769435167,0.0407362166777219
TSS_00472,13.9090634898521,-2.6246451987483,0.941604132268435,-2.78741894688293,0.00531297432350398,0.0228145368009288
TSS_00587,6.65727689331228,1.94611748901492,1.25343119715371,1.5526320817881,0.120511056647942,0.286868710933689
TSS_00601,9.70120266037671,0.411959989825656,0.916552818222377,0.449466720995564,0.653095009618579,0.821998891416488
TSS_00616,1.77965196302565,0.73130038397341,1.97978968205374,0.369382864554984,0.71184236841772,NA
TSS_00617,0.483658294125823,0.357886296482547,3.88227133241972,0.0921847717066919,0.92655123694003,NA
TSS_00654,6.99532122530494,-0.148696492261058,1.04989706248415,-0.141629591675615,0.887372591762383,0.957313288650058
TSS_00684,2.54102005889326,0.920389965013136,1.65659223214562,0.555592346235408,0.578489564865165,NA
TSS_00685,1.03810263125877,1.93907619338828,2.72692769875316,0.711084563875633,0.477031834826209,NA
TSS_00707,6.30231431808974,0.943843549829321,1.12655828782801,0.8378115540289,0.402136548623748,0.629056458204291
TSS_00709,7.90465773230224,0.150821188586037,0.990660954376154,0.1522429928421,0.878995285773255,0.952970136556153
