,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSS_00029,11.58737308371,-0.309739307489181,1.01486727122947,-0.305201789701962,0.760212469411242,0.861206370129451
TSS_00046,650.716516503625,1.03022452040519,0.420944263766659,2.44741313537954,0.0143885803791647,0.0654790653499655
TSS_00094,8.30458166687063,1.80245405862435,1.18167260040508,1.52534133228312,0.127173983591752,0.30504570388562
TSS_00105,71.5597123591031,-1.24298430939519,0.581625469805311,-2.13708713583546,0.0325909050654601,0.123082673385514
TSS_00125,16.8695948691575,1.25788921074238,0.820501443821911,1.53307373218395,0.125257688995241,0.302843851858373
TSS_00159,111.946997652437,-0.553310460777999,0.546683909692616,-1.01212135745701,0.311480031809213,0.536773841224614
TSS_00201,895.144531742375,-0.687674073017326,0.474923495611685,-1.44796810301336,0.147625971442491,0.335943717064642
TSS_00238,52.1403185972805,1.18017511369569,0.568103842130001,2.0773932970966,0.0377652743449537,0.136802779514883
TSS_00278,19.4702450188833,2.00340008073498,0.762532793100314,2.62729694888207,0.00860661905685074,0.0442804313794494
TSS_00296,57.2985662083034,0.593834518047768,0.557453934838796,1.06526204397408,0.286757363852759,0.511603500374858
TSS_00298,292.559037077454,0.470808000774162,0.489559140316289,0.961697907366183,0.336201373848998,0.560335623081664
TSS_00389,3.88634109845402,-0.758533920648396,1.66820119382192,-0.454701701124287,0.649323856882066,0.805978913262704
TSS_00414,30.2120903142227,-0.767032746829487,0.710436904980274,-1.07966343168896,0.28029208364159,0.507671886187573
TSS_00473,63.7042486390236,2.42298391558719,0.540130958051696,4.48591934875779,7.26002020341222e-06,0.00020917638354049
TSS_00476,13.4941976915119,1.76023019860851,0.928394537197479,1.89599370535082,0.0579608768834028,0.180492204329895
TSS_00510,63.7022126151223,-0.12167605541224,0.607401653270451,-0.20032223283736,0.841228575653069,0.910476049868413
TSS_00526,26.565541487996,0.358948099124315,0.719238289971508,0.49906700481496,0.617732181122757,0.785005367502825
TSS_00524,2.94408554771185,-0.101630310866803,1.81381875621643,-0.0560311279825998,0.955317009560867,0.971740797690854
TSS_00527,19.3607675834999,1.21293125177284,0.763136198932771,1.5894033771024,0.111969352659448,0.285964893482762
TSS_00555,2.40691602200936,-0.783743824412621,2.1034410109995,-0.37260080996529,0.709445569918486,0.82304959908844
TSS_00556,0.678311824510195,4.77774593740381,3.82606046168113,1.24873769906514,0.211761027417148,0.417639804072709
TSS_00576,15.9861666823433,0.485361793762856,0.833941869868779,0.582009143921779,0.560560521758685,0.759538111543257
TSS_00578,1.83799897690936,1.60457043569645,2.21475089850192,0.72449250919451,0.468763424324991,0.68201235916136
TSS_00609,49.6598538795743,1.76438861469562,0.573057191657676,3.07890493371489,0.00207762967767623,0.0144619320700993
TSS_00625,9.01932337538417,2.48934983481093,1.04189579327104,2.38925029824296,0.0168827959744403,0.072209549047305
TSS_00631,45.0839533687878,-3.09424093357635,0.818363364743275,-3.78101106046826,0.000156192733944376,0.00178865872742753
TSS_00626,0,NA,NA,NA,NA,NA
TSS_00627,0,NA,NA,NA,NA,NA
TSS_00628,0.760248971244671,3.29020227522073,3.46695753609103,0.949017183213156,0.342611872753002,0.561933280756613
TSS_00649,6.36423309416415,4.03008565815859,1.33755324933724,3.0130281991805,0.00258654881792539,0.0173249967993116
TSS_00754,49.5218322293936,-3.81258340830516,0.903908120593207,-4.21788821390728,2.46601013414123e-05,0.000416873141723874
TSS_00766,115.388935089463,0.195167376273928,0.56846727664627,0.343322094853617,0.731356160556958,0.840404775880695
TSS_00771,262.950493335454,0.866418074187094,0.439639567566193,1.97074635248031,0.0487528957712066,0.16596289856105
TSS_00774,0,NA,NA,NA,NA,NA
TSS_00775,105.313799126159,0.896600143963985,0.522729932731165,1.71522632974052,0.086303739310479,0.239358026993906
TSS_00783,6.62863469130431,-2.91343061224155,1.77644424372853,-1.64003493074831,0.100997904278527,0.265587081621311
TSS_00785,2.75735333019989,-1.40602967639412,2.05714332357057,-0.683486493276359,0.494299482120456,0.701905264611048
TSS_00840,127.998438392292,-0.29743565924434,0.544106281822274,-0.54664992701094,0.58461926133476,0.767828321118883
TSS_00841,0,NA,NA,NA,NA,NA
TSS_00845,0,NA,NA,NA,NA,NA
TSS_00846,5.2769491564974,-1.17684344943871,1.49861215614544,-0.785288871849045,0.432284218877121,0.647514336292734
TSS_00854,8.0776987891847,-0.710051812056681,1.18263847746146,-0.600396338854803,0.548242127196217,0.74856136597945
TSS_00894,100.382920435334,-1.19177502991056,0.624182383718695,-1.90933781695394,0.0562185268486475,0.179797991272702
TSS_00893,6.62573134541576,0.375054559069548,1.22039998887042,0.307321011545315,0.758599044132645,0.861206370129451
TSS_00908,21.6409752879865,-0.204277339435306,0.861973590176328,-0.236987932998641,0.812666151707135,0.898742940361474
TSS_00910,36.618819624619,-1.11456079897216,0.706294008372129,-1.57804085233713,0.114556224937164,0.288421701082931
TSS_00925,235.821510122138,0.128315470655855,0.609093651091054,0.210666242253562,0.833147718192206,0.907262085761451
TSS_00926,2.88500632502039,1.36278406848214,1.7687283251839,0.770488067092185,0.441010430812518,0.65435448034977
TSS_00970,202.898733083797,-1.02141400466013,0.493063423494505,-2.07156717774972,0.0383058235203778,0.13735926615893
TSS_00998,56.5366113930538,-0.952919103552807,0.615220720025652,-1.5489060633606,0.121404303165798,0.299295330721238
TSS_01014,296.832931313737,-1.1979157715935,0.520805777650179,-2.30011997370377,0.0214414239817924,0.0855247810509699
TSS_01090,47.8734964337322,-1.0711203226297,0.714900421158698,-1.4982790482815,0.134060765253844,0.310397777614638
TSS_01095,13.5451835953378,0.787591570771986,0.955279025554998,0.824462329542314,0.409676911711163,0.624185852607136
TSS_01099,29.0921353336538,0.883947404958311,0.67031161134761,1.3187111635754,0.187265693190035,0.386507680711991
TSS_01112,16.1545974110363,0.614320880972205,0.852647616508323,0.720486246695805,0.471225664654469,0.682796371234027
TSS_01149,321.812371388933,-1.03488177575835,0.639812682854012,-1.61747618246961,0.105775532819895,0.274089884314325
TSS_01166,1095.93931111564,0.817116556995397,0.406718563169853,2.00904662582159,0.0445321892357679,0.153484729890268
TSS_01168,42.9878622683471,2.92624582912736,0.610851269592022,4.79043913763452,1.66416696941331e-06,6.56421415713026e-05
TSS_01171,6.5121293352569,2.40321837603107,1.30713507974125,1.83853865853466,0.0659830707800484,0.19519991772431
TSS_01216,1073.02876911946,-0.311703332264467,0.444603341786609,-0.701081847500084,0.483251938060982,0.691751766176003
TSS_01223,316.371217004523,-0.4453633514436,0.437989241149958,-1.01683628180976,0.309231319132877,0.535498138010592
TSS_01427,0.0716895942165887,1.98328539661298,4.99261846156232,0.397243533004194,0.691187882855125,0.817905661378565
TSS_01429,28.9097847581589,-2.01660170525199,0.812904910893446,-2.48073505059231,0.0131111788139051,0.0613716533944209
TSS_01474,48.6939350910356,0.0132433947663904,0.679273867261323,0.0194963996182935,0.984445109186779,0.987226027574312
TSS_01479,510.551023004334,1.49227571976917,0.467894487531633,3.18934238281292,0.0014259687710749,0.0107706151857785
TSS_01526,224.148357593018,2.05460016908303,0.463309980399566,4.43461236753656,9.2238100739251e-06,0.000218296838416227
TSS_01561,31.7994041639169,0.445742610247876,0.711761104327754,0.626253117145074,0.531148932026399,0.7336882134995
TSS_01602,1560.66952727821,-1.44688976343517,0.439885157149357,-3.28924434007191,0.00100456773661453,0.00792492325551464
TSS_01631,31.455141854388,-2.69749478683107,0.884905933701619,-3.04834071520719,0.00230108866275144,0.0157093552937839
TSS_02005,92.8658805044338,-1.94744382582147,0.571503464257411,-3.40758008939088,0.00065541671105992,0.00567494957137248
TSS_02009,141.030240325827,0.553247469081512,0.486621083600763,1.1369163559206,0.255573253977029,0.477518448220239
TSS_02106,28.3297806106434,-1.06003126607108,0.745781677076399,-1.42136941500976,0.155209393143255,0.348729965606681
TSS_02109,0.750001418726783,3.36183359004077,3.48233399488699,0.965396654937995,0.334346176286116,0.559872134818732
TSS_02137,4611.28145976653,-0.438040886443172,0.421555796488641,-1.03910535708878,0.298755739767994,0.519893566753126
