gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_00010,2.0503998,-0.0824017,1.4656658,-0.0562214,0.9551655,0.979664
vnz_00015,0.835489,0.2626404,1.8093107,0.1451605,0.8845842,NA
vnz_00020,1.3108253,-0.6137741,1.7249077,-0.3558301,0.7219678,NA
vnz_00030,2.02658,0.3918483,1.6864379,0.2323527,0.8162641,0.9085575
vnz_00035,2.286353,1.619645,1.5836125,1.0227534,0.3064245,0.5102029
vnz_00040,4.068741,0.4118055,1.243672,0.3311207,0.7405533,0.8669895
vnz_00050,3.8163267,1.4741741,1.3336131,1.1053987,0.2689869,0.4702122
vnz_00055,4.0211152,-0.2102615,1.2237685,-0.1718148,0.8635832,0.9313487
vnz_00060,3.5734244,-0.2166306,1.2561689,-0.1724534,0.8630811,0.9309491
vnz_00070,6.6190284,-0.113756,1.1279579,-0.1008513,0.9196685,0.9633586
vnz_00075,31.767224,-0.8330623,0.5124332,-1.6256994,0.1040136,0.2555392
vnz_00080,99.84377,-0.6479726,0.4398109,-1.473298,0.1406707,0.3120236
vnz_00085,11.42649,-0.6355702,0.8245695,-0.7707903,0.4408312,0.6389961
vnz_00090,7.8221452,0.4636535,0.8848398,0.5239971,0.6002806,0.7670673
vnz_00095,2.1260308,1.4932608,1.5973667,0.9348265,0.3498777,0.5532695
vnz_00100,6.8655317,-0.4606187,0.9707866,-0.4744799,0.6351577,0.7926034
vnz_00105,4.0390341,3.607035,1.4769792,2.4421705,0.0145992,0.0614349
vnz_00110,12.529783,0.5735242,0.7871989,0.7285633,0.4662689,0.6609226
vnz_00115,10.956426,0.2323673,0.8728397,0.2662199,0.7900699,0.8941661
vnz_00120,6.223716,0.8278703,1.1094582,0.7461934,0.4555506,0.6519182
vnz_00125,5.6938099,2.9456556,1.3239196,2.2249505,0.0260846,0.0951102
vnz_00130,3.2436218,0.6600643,1.4833575,0.4449799,0.6563343,0.8094797
vnz_00135,96.909636,-1.7635778,0.3818562,-4.6184339,3.87E-06,4.89E-05
