gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_00010,2.0503998,0.544044722,1.2739353,0.4270584,0.6693368,0.7532707
vnz_00015,0.835489,3.1074485,1.7948019,1.7313601,0.0833876,0.1498818
vnz_00020,1.3108253,-0.875337493,1.5539981,-0.5632809,0.5732436,0.670755
vnz_00030,2.02658,-1.130025419,1.477746,-0.7646953,0.444453,0.5527999
vnz_00035,2.286353,2.966417187,1.3220443,2.2438108,0.0248446,0.0567832
vnz_00040,4.068741,2.582560811,1.0860703,2.3778948,0.0174118,0.0425134
vnz_00050,3.8163267,1.695936301,1.079616,1.5708699,0.1162129,0.1945423
vnz_00055,4.0211152,-0.35505478,1.1336455,-0.3131974,0.7541307,0.8211472
vnz_00060,3.5734244,0.496472097,1.2776709,0.3885759,0.6975899,0.7738855
vnz_00070,6.6190284,-0.245131404,1.0654929,-0.2300638,0.8180422,0.8705293
vnz_00075,31.767224,-0.759915658,0.4993724,-1.5217415,0.1280739,0.2101462
vnz_00080,99.84377,-2.39515892,0.4536698,-5.2795198,1.30E-07,1.54E-06
vnz_00085,11.42649,-0.054303503,0.7439484,-0.0729936,0.9418112,0.9596648
vnz_00090,7.8221452,0.123065217,0.8712344,0.1412539,8.88E-01,0.9198983
vnz_00095,2.1260308,2.30403315,1.3986615,1.6473129,0.0994938,0.1723529
vnz_00100,6.8655317,1.537532512,0.8664064,1.7746089,0.0759625,0.1394853
vnz_00105,4.0390341,5.278832876,1.1813568,4.4684494,7.88E-06,5.94E-05
vnz_00110,12.529783,1.054450643,0.6784354,1.5542389,0.1201274,0.1996881
vnz_00115,10.956426,0.615967665,0.7546287,0.8162526,0.4143557,0.5232919
vnz_00120,6.223716,1.324476222,0.9744712,1.3591743,0.1740914,0.2663009
vnz_00125,5.6938099,6.068113194,1.2395789,4.8953022,9.82E-07,9.70E-06
vnz_00130,3.2436218,1.567881712,1.3720362,1.1427408,0.2531462,0.3579433
vnz_00135,96.909636,-0.838847755,0.3816301,-2.1980652,0.0279445,0.0622754
vnz_00140,81.454042,-2.291814253,0.5028418,-4.5577241,5.17E-06,4.16E-05
vnz_00145,19.748431,-0.836476322,0.6893688,-1.2133945,0.224979,0.3272907
vnz_00150,5.9065469,-1.98795825,1.2714671,-1.5635153,0.1179314,0.1968108
vnz_00155,172.32053,-1.356438091,0.3527442,-3.8453871,0.0001204,0.0006336
vnz_00160,4.6306313,2.30370533,1.1168412,2.0626974,0.0391414,0.0820487
vnz_00165,14.516851,-0.389436069,0.652826,-0.5965389,0.5508153,0.6496162
vnz_00170,23.395754,2.047719546,0.6186333,3.3100702,0.0009327,0.0036438
vnz_00175,3.5073704,2.576101378,1.2523875,2.0569523,0.0396908,0.0829643
vnz_00180,3.7741606,2.056741217,1.138152,1.8070884,0.0707485,0.1312322
vnz_00185,3.8273512,3.521485489,1.2474817,2.8228755,0.0047595,0.0141441
vnz_00190,5.3593295,6.639786355,1.2399995,5.3546688,8.57E-08,1.05E-06
vnz_00195,8.3206187,2.030317025,0.7765296,2.6146035,0.0089331,0.0242118
vnz_00200,2.7426576,2.066779956,1.2749196,1.6211061,0.1049949,0.1794759
vnz_00205,9.5928838,1.249714576,0.8358535,1.4951359,0.134879,0.2192118
vnz_00210,3.9414273,0.626316508,1.1535834,0.5429313,0.5871771,0.6829841
vnz_00215,4.0039577,2.3704105,1.185078,2.0002148,0.0454771,0.0923843
vnz_00220,474.07829,-3.932780586,0.2952543,-13.319979,1.77E-40,1.19E-37
vnz_00225,32.868549,-2.33855919,0.6682593,-3.4994786,0.0004662,0.0020229
vnz_00230,70.417487,-1.660304128,0.4539804,-3.6572152,0.000255,0.0012082
vnz_00235,73.801216,-2.730319988,0.5272773,-5.1781481,2.24E-07,2.53E-06
vnz_00240,5.5242693,1.478360813,0.8894298,1.6621444,0.0964838,0.1680877
vnz_00245,17.072207,-0.017016088,0.5958216,-0.028559,9.77E-01,0.9851089
vnz_00250,639.56616,-0.078575929,0.4443751,-0.1768234,8.60E-01,9.00E-01
vnz_00255,5.2277778,2.260346937,0.9938026,2.2744426,0.0229394,0.0532385
vnz_00260,7.8241106,1.577698598,0.8635415,1.8270095,0.0676983,0.1264985
vnz_00265,3.2450809,3.435165043,1.1902571,2.8860698,0.0039009,0.0119741
vnz_00270,2.5425068,2.408842143,1.2060748,1.9972577,0.0457972,0.0928809
vnz_00275,68.836947,-0.393683626,0.5520563,-0.7131222,0.4757701,0.5814091
vnz_00280,6.9265353,1.129768483,0.9079318,1.2443319,0.2133774,0.3133848
vnz_00285,49.255262,-1.17614533,0.4519231,-2.6025344,0.0092538,0.0249067
vnz_00290,4.1177498,3.659282112,1.1409198,3.2073088,0.0013398,0.0048748
vnz_00295,1.0905164,1.733473108,1.6927874,1.0240348,0.3058189,0.4135996
vnz_00300,5.6492776,4.10772629,1.0076164,4.0766767,4.57E-05,0.0002749
vnz_00305,3.7012661,2.205135613,1.1505306,1.9166249,0.0552856,0.1082487
vnz_00310,7.5817098,2.394862156,0.7898267,3.0321363,0.0024283,0.0080152
vnz_00315,13.541511,0.210234661,0.6276405,0.3349603,0.737655,0.8073858
vnz_00320,7.5623743,1.055625443,0.9872296,1.0692806,0.2849433,0.3916973
vnz_00325,4.1452001,2.672789214,1.0646313,2.5105303,0.012055,0.0311922
vnz_00330,5.0512087,3.684990439,1.1263294,3.2716809,0.0010691,0.0040834
vnz_00335,3.4161879,2.631024898,1.2185013,2.1592303,0.0308323,0.0670553
vnz_00340,2.9635703,3.572522734,1.3832641,2.5826758,0.0098037,0.0261197
vnz_00345,3.0577526,2.717401562,1.2180761,2.2308963,0.025688,0.0583487
vnz_00350,6.1077434,1.601154954,0.8850631,1.8090856,0.0704377,0.1307707
vnz_00355,5.3269445,2.53770283,1.1288564,2.2480298,0.0245743,0.0562877
vnz_00360,3.4748441,2.041226897,1.2694044,1.6080194,0.1078309,0.1834296
vnz_00365,7.2761841,0.600872942,0.8908134,0.6745216,0.4999797,0.6045995
vnz_00370,15.439343,1.025141606,0.7328928,1.3987607,0.1618847,0.2516081
vnz_00375,9.7041853,1.014471558,0.7328648,1.3842548,0.1662804,0.256545
vnz_00380,8.2503974,0.470445962,0.8493831,0.5538678,0.5796693,0.6762809
vnz_00385,13.002805,-0.087999357,0.6748128,-0.1304056,8.96E-01,0.9263091
vnz_00390,41.762649,-2.053278649,0.6237072,-3.2920556,0.0009946,0.0038487
vnz_00395,24.084033,-0.793159857,0.7235086,-1.0962687,0.2729612,0.379548
vnz_00400,12.802965,-1.302235808,0.7436367,-1.751172,0.0799163,0.1451303
vnz_00405,11.896658,1.405089518,0.7229409,1.9435746,0.0519468,0.1030816
vnz_00410,3.696653,1.126356748,1.0956638,1.0280131,0.3039436,0.4117441
vnz_00415,69.501213,1.849756983,0.4817224,3.8398812,0.0001231,0.0006456
vnz_00420,15.192499,1.617659851,0.6746192,2.397886,0.01649,0.04064
vnz_00425,2.7764479,6.254266891,1.5955844,3.9197342,8.86E-05,0.000489
vnz_00430,3.8415082,4.868441772,1.2447075,3.911314,9.18E-05,0.0005037
vnz_00435,3.1256557,4.200010731,1.2019897,3.4942153,0.0004755,0.0020584
vnz_00440,12.727817,0.888555219,0.640673,1.3869092,0.1654695,0.2559372
vnz_00445,54.948215,1.088571758,0.5586247,1.9486639,0.0513356,0.1019787
vnz_00450,133.56117,-3.967119136,0.4230295,-9.3778773,6.73E-21,6.44E-19
vnz_00455,14.946902,3.768537639,0.7938611,4.7470997,2.06E-06,1.85E-05
vnz_00460,5.4618346,3.256911934,1.1246998,2.8958054,0.0037819,0.0116575
