"geneID","Name","BaseMean","Log2FC","StErr","WaldStats","P-val","P-agj","Function"
"vnz_02575","Lantipeptide",4.161990834,2.980556,1.521028,1.959567189,0.050046,0.155616,"Biosynthetic"
"vnz_02580","Lantipeptide",4.700778047,2.830005,1.48292,1.90839949,0.05634,0.168258,"Biosynthetic"
"vnz_02585","Lantipeptide",10.22778298,4.390855,1.262058,3.479122189,0.000503,0.00376,"Biosynthetic"
"vnz_02590","Lantipeptide",12.11850314,1.016703,0.950425,1.069734169,0.284739,0.487167,"Biosynthetic"
"vnz_02595","Lantipeptide",125.056398,-0.077625,0.369431,-0.21012112,0.833573,0.916904,"Biosynthetic"
"vnz_02600","Lantipeptide",3.479902136,-0.028089,1.384207,-0.02029238,0.98381,0.992787,"Biosynthetic"
"vnz_02605","Lantipeptide",25.72889474,1.744096,0.671205,2.598453088,0.009364,0.043492,"Biosynthetic"
"vnz_02610","Lantipeptide",10.47478397,1.950773,0.859519,2.269609331,0.023231,0.087185,"Biosynthetic"
"vnz_02615","Lantipeptide",68.95990215,4.998647,0.683983,7.308145209,2.71e-13,9.93e-12,"Biosynthetic"
"vnz_02620","Lantipeptide",195.1830548,6.376478,0.690682,9.232143124,2.65e-20,1.84e-18,"Biosynthetic"
"vnz_02625","Lantipeptide",6.436158715,-0.054688,0.938275,-0.05828542,0.953521,0.979397,"Biosynthetic"
"vnz_02630","Lantipeptide",11.63779731,-2.311052,0.87468,-2.64216739,0.008238,0.03945,"Biosynthetic"
"vnz_02635","Lantipeptide",25.45698837,-0.159674,0.639711,-0.24960307,0.802894,0.901686,"Biosynthetic"
"vnz_02640","Lantipeptide",870.041309,-1.626436,0.328394,-4.95269316,7.32e-07,1.07e-05,"Biosynthetic"
"vnz_02645","Lantipeptide",269.1900626,-2.488569,0.377413,-6.59376094,4.29e-11,1.17e-09,"Biosynthetic"
"vnz_02650","Lantipeptide",195.6033141,-1.940477,0.403235,-4.81227739,1.49e-06,2.07e-05,"Biosynthetic"
"vnz_02655","Lantipeptide",227.7159051,-1.177871,0.392776,-2.99883987,0.00271,0.016092,"Biosynthetic"
"vnz_02660","Lantipeptide",1294.745372,-2.69699,0.315677,-8.54350491,1.3e-17,7.74e-16,"Biosynthetic"
"vnz_02665","Lantipeptide",64.12088625,3.986255,0.580337,6.868868682,6.47e-12,1.97e-10,"Biosynthetic"
"vnz_02670","Lantipeptide",9.605998116,2.131308,1.09001,1.955310581,0.050546,0.15661,"Biosynthetic"
"vnz_02675","Lantipeptide",32.92589839,1.313187,0.512019,2.564723106,0.010326,0.047031,"Biosynthetic"
