"geneID","Name","BaseMean","Log2FC","StErr","WaldStats","P-val","P-agj","Function"
"vnz_02575","Lantipeptide",4.161990834,4.667456,1.335056,3.496073695,0.000472,0.002048,"Biosynthetic"
"vnz_02580","Lantipeptide",4.700778047,4.635047,1.227325,3.776544029,0.000159,0.000806,"Biosynthetic"
"vnz_02585","Lantipeptide",10.22778298,6.863663,0.994851,6.899185185,5.23e-12,1.38e-10,"Biosynthetic"
"vnz_02590","Lantipeptide",12.11850314,2.230688,0.850093,2.624050478,0.008689,0.023681,"Biosynthetic"
"vnz_02595","Lantipeptide",125.056398,-0.13325,0.356346,-0.373934465,0.708453,0.783105,"Biosynthetic"
"vnz_02600","Lantipeptide",3.479902136,-0.211147,1.117288,-0.188981928,0.850107,0.894022,"Biosynthetic"
"vnz_02605","Lantipeptide",25.72889474,3.007037,0.577937,5.203051097,1.96e-07,2.24e-06,"Biosynthetic"
"vnz_02610","Lantipeptide",10.47478397,0.74601,0.708212,1.053370161,0.292171,0.399397,"Biosynthetic"
"vnz_02615","Lantipeptide",68.95990215,0.338389,0.435123,0.777684477,0.436755,0.545499,"Biosynthetic"
"vnz_02620","Lantipeptide",195.1830548,1.735047,0.403107,4.304189365,1.68e-05,0.000115,"Biosynthetic"
"vnz_02625","Lantipeptide",6.436158715,0.724495,0.902532,0.802735587,0.422128,0.531466,"Biosynthetic"
"vnz_02630","Lantipeptide",11.63779731,0.681506,0.715556,0.952414551,0.340887,0.449679,"Biosynthetic"
"vnz_02635","Lantipeptide",25.45698837,-0.288871,0.560382,-0.515489896,0.606211,0.700147,"Biosynthetic"
"vnz_02640","Lantipeptide",870.041309,-3.69843,0.351985,-10.50735359,7.99e-26,1.34e-23,"Biosynthetic"
"vnz_02645","Lantipeptide",269.1900626,-4.269633,0.44961,-9.496307899,2.17e-21,2.22e-19,"Biosynthetic"
"vnz_02650","Lantipeptide",195.6033141,-4.086233,0.473467,-8.630441859,6.11e-18,3.63e-16,"Biosynthetic"
"vnz_02655","Lantipeptide",227.7159051,-3.602968,0.441787,-8.155442643,3.48e-16,1.69e-14,"Biosynthetic"
"vnz_02660","Lantipeptide",1294.745372,-4.451108,0.341196,-13.04559022,6.73e-39,3.81e-36,"Biosynthetic"
"vnz_02665","Lantipeptide",64.12088625,-2.313187,0.528134,-4.379924745,1.19e-05,8.59e-05,"Biosynthetic"
"vnz_02670","Lantipeptide",9.605998116,-0.098326,0.917442,-0.107173967,0.914651,0.9415,"Biosynthetic"
"vnz_02675","Lantipeptide",32.92589839,0.005659,0.447152,0.012656191,0.989902,0.993274,"Biosynthetic"
"vnz_02680","Lantipeptide",13.74740757,2.146877,0.665163,3.227594086,0.001248,0.004614,"Biosynthetic"
"vnz_04400","Chloramphenicol",15.50696292,-0.561122,0.762206,-0.736180888,0.461621,0.568647,"Biosynthetic"
"vnz_04405","Chloramphenicol",18.94191237,0.109763,0.849934,0.129143435,0.897244,0.926951,"Biosynthetic"
"vnz_04410","Chloramphenicol",49.57128782,0.383901,0.644205,0.595930091,0.551222,0.649888,"Biosynthetic"
"vnz_04415","Chloramphenicol",226.9840398,-3.528702,0.429457,-8.216667727,2.09e-16,1.03e-14,"Biosynthetic"
"vnz_04420","Chloramphenicol",86.2723756,-1.063526,0.654979,-1.623755345,0.104428,0.178673,"Biosynthetic"
"vnz_04425","Chloramphenicol",12.53173713,-0.945372,1.047458,-0.902538757,0.366771,0.475678,"Biosynthetic"
"vnz_04430","Chloramphenicol",47.0444019,-0.851637,0.712041,-1.196050666,0.231677,0.335114,"Biosynthetic"
"vnz_04435","Chloramphenicol",101.8585509,-0.895978,0.635709,-1.409414476,0.158713,0.247881,"Biosynthetic"
"vnz_04440","Chloramphenicol",103.1349864,-2.031247,0.687397,-2.954984021,0.003127,0.009948,"Biosynthetic"
"vnz_04445","Chloramphenicol",173.7013511,-1.907672,0.581482,-3.280708181,0.001035,0.003978,"Biosynthetic"
"vnz_04450","Chloramphenicol",55.68438963,-1.583518,0.694958,-2.278579336,0.022692,0.052714,"Biosynthetic"
"vnz_04455","Chloramphenicol",107.3585987,-2.895043,0.715099,-4.048452715,5.16e-05,0.000305,"Biosynthetic"
"vnz_04460","Chloramphenicol",48.87233435,-2.869559,0.739622,-3.879762619,0.000105,0.00056,"Biosynthetic"
"vnz_04465","Chloramphenicol",96.44970645,-3.355376,0.699608,-4.796078118,1.62e-06,1.51e-05,"Biosynthetic"
"vnz_04470","Chloramphenicol",127.6583513,-2.556137,0.72576,-3.522012817,0.000428,0.001885,"Biosynthetic"
"vnz_04475","Chloramphenicol",270.6974443,-3.11638,0.598878,-5.203695954,1.95e-07,2.24e-06,"Biosynthetic"
"vnz_22830","Melanin",97.46446283,-1.565623,0.465517,-3.363188263,0.00077,0.003114,"Biosynthetic"
"vnz_22835","Melanin",28.91257114,0.931902,0.583539,1.596983687,0.110269,0.186501,"Biosynthetic"
"vnz_22840","Melanin",46.8449332,0.504916,0.437976,1.152840101,0.248976,0.353385,"Biosynthetic"
"vnz_22845","Melanin",209.1172298,-0.607315,0.35537,-1.708965584,0.087457,0.155941,"Biosynthetic"
"vnz_22850","Melanin",104.2346255,-1.159431,0.57215,-2.026443921,0.042719,0.087996,"Biosynthetic"
"vnz_22855","Melanin",155.5572937,1.096677,0.342464,3.202312689,0.001363,0.004933,"Biosynthetic"
"vnz_22860","Melanin",27.46871342,-1.770341,0.640636,-2.763411358,0.00572,0.016577,"Biosynthetic"
"vnz_22865","Melanin",86.05691833,-1.681755,0.435408,-3.862483792,0.000112,0.000596,"Biosynthetic"
"vnz_22870","Melanin",413.1072806,-3.655265,0.417808,-8.748671724,2.16e-18,1.36e-16,"Biosynthetic"
"vnz_22875","Melanin",67.73086535,-1.727096,0.606473,-2.84777326,0.004403,0.013276,"Biosynthetic"
"vnz_22880","Melanin",94.83942538,-0.310539,0.528133,-0.587993144,0.556537,0.655205,"Biosynthetic"
"vnz_22885","Melanin",380.8486531,-4.290616,0.467143,-9.184811995,4.12e-20,3.2e-18,"Biosynthetic"
"vnz_22890","Melanin",60.03414036,-1.956686,0.61474,-3.182949344,0.001458,0.005219,"Biosynthetic"
"vnz_22895","Melanin",273.7030535,-2.391035,0.546856,-4.372333672,1.23e-05,8.83e-05,"Biosynthetic"
"vnz_22900","Melanin",42.59721042,-0.20529,0.444138,-0.462220047,0.643924,0.732332,"Biosynthetic"
"vnz_22905","Melanin",18.94507865,0.011977,0.657416,0.018218221,0.985465,0.990306,"Biosynthetic"
"vnz_22915","Melanin",11.01690938,0.000656,0.72252,0.000907384,0.999,1,"Biosynthetic"
"vnz_22920","Melanin",6.742742229,0.980105,0.974178,1.006084296,0.314375,0.42261,"Biosynthetic"
"vnz_22925","Melanin",10.45453092,1.113637,0.739281,1.506378243,0.13197,0.215244,"Biosynthetic"
"vnz_22930","Melanin",9.520620748,-0.137578,0.807828,-0.170306029,0.865,0.904,"Biosynthetic"
"vnz_22935","Melanin",10.91072217,1.509023,0.817928,1.844934506,0.065047,0.122508,"Biosynthetic"
"vnz_22940","Melanin",29.49967798,-0.467658,0.57461,-0.813870775,0.415719,0.524654,"Biosynthetic"
"vnz_22945","Melanin",27.71859155,-0.849847,0.608931,-1.395637379,0.162824,0.252761,"Biosynthetic"
