geneID,Name,BaseMean,Log2FC,StErr,WaldStats,P-val,P-agj,Function
vnz_02575,Lantipeptide,4.161990834,0.966719,1.655816,0.583832684,0.559333,0.738608,Biosynthetic
vnz_02580,Lantipeptide,4.700778047,0,1.668713,0,1,1,Biosynthetic
vnz_02585,Lantipeptide,10.22778298,1.666959,1.476673,1.128861787,0.258956,0.463684,Biosynthetic
vnz_02590,Lantipeptide,12.11850314,1.395302,1.094423,1.274919894,0.202338,0.388495,Biosynthetic
vnz_02595,Lantipeptide,125.056398,-1.313246,0.415676,-3.15930115,0.001581,0.008512,Biosynthetic
vnz_02600,Lantipeptide,3.479902136,-0.062865,1.265267,-0.0496848,0.960374,NA,Biosynthetic
vnz_02605,Lantipeptide,25.72889474,0.276806,0.843142,0.328302263,0.742683,0.862452,Biosynthetic
vnz_02610,Lantipeptide,10.47478397,0.070296,0.763844,0.092028926,0.926675,0.982384,Biosynthetic
vnz_02615,Lantipeptide,68.95990215,1.922795,1.078956,1.78208925,0.074735,0.189738,Biosynthetic
vnz_02620,Lantipeptide,195.1830548,2.558155,0.892431,2.86650274,0.00415,0.018846,Biosynthetic
vnz_02625,Lantipeptide,6.436158715,0.958438,1.532564,0.625382523,0.53172,0.722167,Biosynthetic
vnz_02630,Lantipeptide,11.63779731,1.094825,0.915672,1.195651466,0.231833,0.430395,Biosynthetic
vnz_02635,Lantipeptide,25.45698837,1.027015,0.526971,1.948903251,0.051307,0.143747,Biosynthetic
vnz_02640,Lantipeptide,870.041309,6.216689,0.488312,12.73097229,3.98E-37,1.62E-34,Biosynthetic
vnz_02645,Lantipeptide,269.1900626,6.147845,0.650055,9.457419495,3.16E-21,2.23E-19,Biosynthetic
vnz_02650,Lantipeptide,195.6033141,5.114421,0.638028,8.015988551,1.09E-15,4.18E-14,Biosynthetic
vnz_02655,Lantipeptide,227.7159051,5.214191,0.612301,8.515728454,1.66E-17,8.04E-16,Biosynthetic
vnz_02660,Lantipeptide,1294.745372,7.294203,0.512893,14.22168925,6.72E-46,5.47E-43,Biosynthetic
vnz_02665,Lantipeptide,64.12088625,4.323262,0.882807,4.897178983,9.72E-07,1.04E-05,Biosynthetic
vnz_02670,Lantipeptide,9.605998116,0.241915,1.195338,0.202381941,0.839618,0.923027,Biosynthetic
vnz_02675,Lantipeptide,32.92589839,1.318847,0.539781,2.443298173,0.014554,0.053564,Biosynthetic
vnz_02680,Lantipeptide,13.74740757,0.980905,1.018996,0.962619962,0.335738,0.544479,Biosynthetic
vnz_04400,Chloramphenicol,15.50696292,0.640137,0.731321,0.875315873,0.381402,0.589777,Biosynthetic
vnz_04405,Chloramphenicol,18.94191237,7.501191,1.278082,5.869098179,4.38E-09,6.82E-08,Biosynthetic
vnz_04410,Chloramphenicol,49.57128782,6.366515,0.825517,7.71215073,1.24E-14,4.24E-13,Biosynthetic
vnz_04415,Chloramphenicol,226.9840398,1.653806,0.46988,3.5196361,0.000432,0.002719,Biosynthetic
vnz_04420,Chloramphenicol,86.2723756,6.064795,0.713044,8.50549779,1.81E-17,8.65E-16,Biosynthetic
vnz_04425,Chloramphenicol,12.53173713,6.893619,1.324176,5.205968595,1.93E-07,2.31E-06,Biosynthetic
vnz_04430,Chloramphenicol,47.0444019,6.327461,0.859737,7.35976048,1.84E-13,5.63E-12,Biosynthetic
vnz_04435,Chloramphenicol,101.8585509,7.400075,0.823141,8.990046978,2.47E-19,1.45E-17,Biosynthetic
vnz_04440,Chloramphenicol,103.1349864,5.721919,0.690807,8.282949561,1.20E-16,5.21E-15,Biosynthetic
vnz_04445,Chloramphenicol,173.7013511,5.868085,0.591588,9.919212503,3.43E-23,3.15E-21,Biosynthetic
vnz_04450,Chloramphenicol,55.68438963,4.996777,0.728084,6.862915799,6.75E-12,1.66E-10,Biosynthetic
vnz_04455,Chloramphenicol,107.3585987,5.286876,0.700324,7.549181405,4.38E-14,1.41E-12,Biosynthetic
vnz_04460,Chloramphenicol,48.87233435,4.151265,0.677314,6.12901586,8.84E-10,1.53E-08,Biosynthetic
vnz_04465,Chloramphenicol,96.44970645,4.628353,0.609187,7.59759545,3.02E-14,9.82E-13,Biosynthetic
vnz_04470,Chloramphenicol,127.6583513,4.934795,0.704612,7.003559725,2.50E-12,6.57E-11,Biosynthetic
vnz_04475,Chloramphenicol,270.6974443,5.750442,0.563881,10.19796153,2.02E-24,2.35E-22,Biosynthetic
vnz_22830,Melanin,97.46446283,1.901816,0.527689,3.604050238,0.000313,0.002044,Biosynthetic
vnz_22835,Melanin,28.91257114,-0.666587,0.600502,-1.11004997,0.266977,0.472532,Biosynthetic
vnz_22840,Melanin,46.8449332,-0.468277,0.448693,-1.04364629,0.296649,0.502815,Biosynthetic
vnz_22845,Melanin,209.1172298,1.243888,0.3171,3.922699662,8.76E-05,0.000648,Biosynthetic
vnz_22850,Melanin,104.2346255,-1.1889,0.563197,-2.11098505,0.034774,0.105744,Biosynthetic
vnz_22855,Melanin,155.5572937,-0.824826,0.34331,-2.40257057,0.01628,0.05869,Biosynthetic
vnz_22860,Melanin,27.46871342,-1.521417,0.503781,-3.01999802,0.002528,0.012594,Biosynthetic
vnz_22865,Melanin,86.05691833,0.774604,0.383969,2.017361376,0.043658,0.126822,Biosynthetic
vnz_22870,Melanin,413.1072806,7.238965,0.495441,14.61114247,2.38E-48,2.59E-45,Biosynthetic
vnz_22875,Melanin,67.73086535,5.69656,0.709296,8.031285668,9.65E-16,3.71E-14,Biosynthetic
vnz_22880,Melanin,94.83942538,1.254139,0.610651,2.053772868,0.039998,0.118195,Biosynthetic
vnz_22885,Melanin,380.8486531,8.365188,0.658466,12.70405337,5.61E-37,2.15E-34,Biosynthetic
vnz_22890,Melanin,60.03414036,6.130813,0.723817,8.470116708,2.45E-17,1.15E-15,Biosynthetic
vnz_22895,Melanin,273.7030535,5.05523,0.619568,8.159284695,3.37E-16,1.35E-14,Biosynthetic
vnz_22900,Melanin,42.59721042,4.980548,0.963982,5.16663953,2.38E-07,2.80E-06,Biosynthetic
vnz_22905,Melanin,18.94507865,2.374744,0.930395,2.552403632,0.010698,0.041607,Biosynthetic
vnz_22915,Melanin,11.01690938,3.024602,1.134506,2.666006961,0.007676,0.031552,Biosynthetic
vnz_22920,Melanin,6.742742229,3.182452,1.397853,2.276671087,0.022806,0.076101,Biosynthetic
vnz_22925,Melanin,10.45453092,3.666492,1.306192,2.807008703,0.005,0.022029,Biosynthetic
vnz_22930,Melanin,9.520620748,2.852534,1.162417,2.453967216,0.014129,0.052297,Biosynthetic
vnz_22935,Melanin,10.91072217,2.931575,1.361395,2.153361336,0.03129,0.097326,Biosynthetic
vnz_22940,Melanin,29.49967798,4.61553,1.198899,3.849808135,0.000118,0.000858,Biosynthetic
vnz_22945,Melanin,27.71859155,4.126341,1.033107,3.994106779,6.49E-05,0.000501,Biosynthetic
vnz_22950,Melanin,15.73663935,2.461405,1.047589,2.349589611,0.018794,0.065855,Biosynthetic
vnz_22955,Melanin,37.89796062,4.893342,1.018553,4.804207835,1.55E-06,1.61E-05,Biosynthetic
vnz_22960,Melanin,196.1395908,8.731382,1.05352,8.287820128,1.15E-16,5.04E-15,Biosynthetic
vnz_22965,Melanin,32.1163851,4.179556,0.763912,5.471256829,4.47E-08,6.00E-07,Biosynthetic
vnz_22970,Melanin,35.70391206,4.242595,0.767625,5.526910876,3.26E-08,4.47E-07,Biosynthetic
vnz_22975,Melanin,77.8986251,7.447894,0.876556,8.496764978,1.95E-17,9.26E-16,Biosynthetic
vnz_22980,Melanin,16.71156453,6.501505,1.24046,5.241204499,1.60E-07,1.95E-06,Biosynthetic
vnz_22985,Melanin,647.8451141,6.430223,0.362558,17.7357243,2.22E-70,1.45E-66,Biosynthetic
vnz_22990,Melanin,123.6788411,4.650006,0.687176,6.766832775,1.32E-11,3.11E-10,Biosynthetic
vnz_22995,Melanin,44.5481416,3.512514,0.812057,4.325455345,1.52E-05,0.000133,Biosynthetic
vnz_23000,Melanin,290.9640831,3.857761,0.409771,9.414423414,4.76E-21,3.29E-19,Biosynthetic
vnz_23005,Melanin,347.7701196,3.895051,0.350049,11.12715054,9.25E-29,1.63E-26,Biosynthetic
vnz_23010,Melanin,48.60205873,3.238177,0.572168,5.659484114,1.52E-08,2.19E-07,Biosynthetic
vnz_23015,Melanin,42.02242208,-0.651802,0.46668,-1.39667837,0.16251,0.332952,Biosynthetic
vnz_23020,Melanin,78.74154548,-0.774192,0.448768,-1.72515139,0.0845,0.206863,Biosynthetic
vnz_23025,Melanin,7.333160636,0,1.610188,0,1,1,Biosynthetic
