gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_00010,2.0503998,0.6493427,1.5296543,0.4245029,0.6711991,NA
vnz_00015,0.835489,0,1.8093107,0,1,NA
vnz_00020,1.3108253,0.6010473,1.6620235,0.3616359,0.7176242,NA
vnz_00030,2.02658,1.0317741,1.5947109,0.6469976,0.5176335,NA
vnz_00035,2.286353,0.9311372,1.662187,0.560188,0.5753512,NA
vnz_00040,4.068741,0.0032584,1.3908356,0.0023428,0.9981307,1
vnz_00050,3.8163267,-0.7885137,1.329408,-0.5931314,0.5530932,NA
vnz_00055,4.0211152,1.3647757,1.0522604,1.2969943,0.1946331,0.3776006
vnz_00060,3.5734244,0.9492657,1.2012944,0.7902023,0.4294096,NA
vnz_00070,6.6190284,2.2117987,0.942963,2.3455839,0.0189973,0.0664765
vnz_00075,31.767224,1.2877708,0.4949307,2.6019215,0.0092703,0.0368265
vnz_00080,99.84377,5.5274768,0.6488105,8.5194009,1.60E-17,7.89E-16
vnz_00085,11.42649,0.1601431,0.7136306,0.2244061,0.8224413,0.91076
vnz_00090,7.8221452,-1.3095903,0.8675973,-1.509445,0.1311851,0.2854921
vnz_00095,2.1260308,1.5713309,1.5455868,1.0166565,0.3093169,NA
vnz_00100,6.8655317,-0.1046579,0.8944116,-0.1170131,0.9068496,0.9676731
vnz_00105,4.0390341,0.0073054,1.5768624,0.0046328,0.9963035,1
vnz_00110,12.529783,0.7139544,0.6850074,1.0422579,0.2972921,0.50336
vnz_00115,10.956426,-0.0666163,0.8652131,-0.0769941,0.9386282,0.9900557
vnz_00120,6.223716,-0.0109236,1.0734075,-0.0101766,0.9918804,1
vnz_00125,5.6938099,0,1.6488602,0,1,1
vnz_00130,3.2436218,0,1.7077749,0,1,NA
vnz_00135,96.909636,6.0339984,0.7380413,8.1756921,2.94E-16,1.20E-14
vnz_00140,81.454042,7.1027856,0.8327863,8.5289418,1.48E-17,7.34E-16
vnz_00145,19.748431,2.7875861,1.105659,2.5211986,0.0116956,0.0448193
vnz_00150,5.9065469,2.3787195,1.4930104,1.593237,0.111107,0.2517403
vnz_00155,172.32053,2.9586433,0.4957042,5.9685661,2.39E-09,3.88E-08
vnz_00160,4.6306313,3.9445152,1.4281511,2.7619733,0.0057453,0.0247418
vnz_00165,14.516851,0.5775485,0.602232,0.9590132,0.3375521,0.5460884
vnz_00170,23.395754,-2.3513154,0.6340259,-3.708548,0.0002085,0.0014278
vnz_00175,3.5073704,0.9255524,1.635344,0.565968,0.5714155,NA
vnz_00180,3.7741606,-0.6346777,1.5020315,-0.4225462,0.6726264,NA
vnz_00185,3.8273512,0.6042433,1.5424903,0.3917323,0.695256,NA
vnz_00190,5.3593295,1.4561677,1.4085045,1.0338396,0.3012112,0.5067169
vnz_00195,8.3206187,0.3903884,1.0069417,0.3876971,0.6982402,0.8295722
vnz_00200,2.7426576,-1.648535,1.3391686,-1.2310138,0.2183177,NA
vnz_00205,9.5928838,-2.2157941,0.8294703,-2.6713363,0.007555,0.0310945
vnz_00210,3.9414273,0.5165001,1.2657157,0.4080696,0.6832226,NA
vnz_00215,4.0039577,-0.0487485,1.4460587,-0.0337113,0.9731074,1
vnz_00220,474.07829,-0.8509895,0.2379122,-3.5769064,0.0003477,0.0022378
vnz_00225,32.868549,1.4536726,0.6420458,2.2641261,0.0235664,0.0780771
vnz_00230,70.417487,2.2252838,0.5113306,4.3519468,1.35E-05,0.000119
vnz_00235,73.801216,4.6006282,0.7223884,6.368635,1.91E-10,3.74E-09
vnz_00240,5.5242693,-0.7365301,1.0905733,-0.6753605,0.4994468,0.6993544
vnz_00245,17.072207,-0.7658332,0.6395709,-1.1974171,0.231144,0.4297298
vnz_00250,639.56616,-0.7657244,0.4449524,-1.7209131,0.0852666,0.2078905
vnz_00255,5.2277778,0.021281,1.0855357,0.0196041,0.9843592,1
vnz_00260,7.8241106,-1.3191229,1.1810618,-1.1168957,0.2640389,0.4692983
vnz_00265,3.2450809,0.4145254,1.3916698,0.2978619,0.7658086,NA
vnz_00270,2.5425068,0.6221197,1.5213798,0.4089181,0.6825998,NA
vnz_00275,68.836947,0.4905725,0.4375404,1.1212051,0.2622006,0.4678199
vnz_00280,6.9265353,-0.1653327,0.9469451,-0.1745959,0.8613972,0.9369962
vnz_00285,49.255262,2.791602,0.9074222,3.0764093,0.0020951,0.0107855
vnz_00290,4.1177498,-1.7415727,1.4164544,-1.2295296,0.2188733,0.411859
vnz_00295,1.0905164,0.647794,1.7421574,0.3718344,0.7100162,NA
vnz_00300,5.6492776,0.3587491,1.0909048,0.3288546,0.7422656,0.862452
vnz_00305,3.7012661,2.0449275,1.3867585,1.4746097,0.1403175,NA
vnz_00310,7.5817098,1.5037543,0.9833495,1.5292165,0.1262108,0.2773568
vnz_00315,13.541511,0.3923481,0.6647749,0.5901969,0.5550587,0.7353008
vnz_00320,7.5623743,2.68979,1.1677158,2.3034629,0.0212528,0.0721022
vnz_00325,4.1452001,2.8833201,1.4437247,1.9971398,0.04581,0.1316633
vnz_00330,5.0512087,-0.0029576,1.2848129,-0.002302,0.9981633,1
vnz_00335,3.4161879,0,1.6723128,0,1,NA
vnz_00340,2.9635703,-0.9959463,1.6653357,-0.5980454,0.5498097,NA
vnz_00345,3.0577526,3.5370612,1.4800399,2.3898418,1.69E-02,NA
vnz_00350,6.1077434,0.8774842,1.0612368,0.8268506,0.4083218,0.6176681
vnz_00355,5.3269445,0.3472971,1.2191586,0.2848662,0.7757466,0.8837898
vnz_00360,3.4748441,1.8144158,1.3140505,1.3807809,0.1673464,NA
vnz_00365,7.2761841,1.2488678,0.9302014,1.3425778,0.1794087,0.3566797
vnz_00370,15.439343,5.6637225,1.260988,4.4914959,7.07E-06,6.49E-05
vnz_00375,9.7041853,-0.8700021,0.7824872,-1.1118419,0.2662061,0.4718614
vnz_00380,8.2503974,-1.1171463,0.8140758,-1.3722879,0.1699738,0.3433778
vnz_00385,13.002805,-0.0331026,0.661964,-0.0500067,0.960117,1
vnz_00390,41.762649,0.2881438,0.5713605,0.5043117,0.6140424,0.7809956
vnz_00395,24.084033,5.7082272,1.0715926,5.3268633,9.99E-08,1.28E-06
vnz_00400,12.802965,0.7335287,0.6987424,1.0497842,0.2938173,0.5003316
vnz_00405,11.896658,-0.0289086,0.8098126,-0.0356979,0.9715232,1
vnz_00410,3.696653,0.1494563,1.1618122,0.1286407,0.897642,NA
vnz_00415,69.501213,-0.0178279,1.1574455,-0.0154028,0.9877108,1
vnz_00420,15.192499,0,1.5870761,0,1,1
vnz_00425,2.7764479,-0.9674175,1.7210867,-0.5620969,0.57405,NA
vnz_00430,3.8415082,-1.7558845,1.4503651,-1.21065,0.2260296,NA
vnz_00435,3.1256557,-0.0472329,1.4341232,-0.0329351,0.9737264,NA
vnz_00440,12.727817,-0.0278192,0.7218528,-0.0385386,0.9692582,1
vnz_00445,54.948215,-1.2693835,0.4376362,-2.9005451,0.0037251,0.0172523
vnz_00450,133.56117,1.2078992,0.4765406,2.5347243,0.0112536,0.0433296
vnz_00455,14.946902,-1.8954872,0.6633883,-2.8572818,0.0042729,0.0193047
vnz_00460,5.4618346,-1.5592515,0.9932685,-1.5698188,0.1164573,0.2604976
vnz_00465,2.4961219,-0.1453693,1.6115984,-0.090202,0.9281267,NA
vnz_00470,6.4906953,-1.6766251,0.9026649,-1.8574169,0.0632519,0.1676496
vnz_00475,23.934704,-1.393097,0.6068904,-2.2954671,0.0217064,0.0730317
vnz_00480,71.105714,0.613748,0.5059844,1.2129782,0.2251382,0.4208486
vnz_00485,16.353007,0.8658276,0.644872,1.3426347,0.1793903,0.3566797
vnz_00490,25.128939,1.1288211,0.5622183,2.0077987,0.0446647,0.1291703
vnz_00495,98.967514,-0.4919576,0.5389269,-0.9128466,0.3613232,0.5694055
vnz_00500,2.7745069,1.6120779,1.6340057,0.9865803,0.3238484,NA
vnz_00505,0.3968247,0,1.6746897,0,1,NA
vnz_00510,2.6487788,0,1.7369211,0,1,NA
vnz_00520,52.475226,0.8567505,0.8246125,1.0389734,0.2988171,0.5047775
vnz_00525,108.73265,1.3684578,0.4426272,3.0916711,0.0019903,0.0103477
vnz_00530,14.773086,0.0940668,0.6145827,0.1530579,0.8783526,0.9470489
vnz_00535,11.748344,-0.2023626,0.8227948,-0.2459454,0.8057245,0.9008332
vnz_00540,19.781673,-0.8937946,0.7072401,-1.2637782,0.2063096,0.394371
vnz_00545,18.070629,2.1628829,0.7495535,2.8855618,0.0039072,0.0179294
vnz_00550,9.7021425,1.9341362,0.9021469,2.143926,0.0320388,0.0992479
vnz_00555,3.1172818,-2.2713092,1.4569383,-1.5589604,0.1190057,NA
vnz_00560,5.9524871,-0.764122,1.1146103,-0.6855508,0.4929964,0.6927074
vnz_00565,5.7497209,-2.6712948,1.3133202,-2.0340012,0.0419515,0.1227972
vnz_00570,6.2901604,-1.9443327,1.019409,-1.9073136,0.05648,0.1537721
vnz_00575,9.6018604,-1.5437928,0.9447186,-1.6341298,0.1022316,0.23724
vnz_00580,25.343906,-1.0511795,0.6603302,-1.5918997,0.1114072,0.2519827
