,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSS_00473,63.7042486390236,2.42298391558719,0.540130958051696,4.48591934875779,7.26002020341222e-06,0.00020917638354049
TSS_01526,224.148357593018,2.05460016908303,0.463309980399566,4.43461236753656,9.2238100739251e-06,0.000218296838416227
TSS_02960,442.835991869139,-2.68879728105787,0.484599106337881,-5.54849822439239,2.88133810640005e-08,2.55718756943004e-06
TSS_03025,93.4854665515802,4.02941188889819,0.53609006986346,7.51629644981947,5.63497021722411e-14,2.00041442711456e-11
TSS_03399,84.1896060835645,-2.47051522981858,0.629853907216732,-3.92236231531145,8.76850021934516e-05,0.0011528953992102
TSS_03849,277.401820619375,-2.13361900215304,0.477041532553745,-4.47260638026872,7.72719370487863e-06,0.00020917638354049
TSS_04170,71.9094373324812,2.0884248630932,0.577343536779899,3.61730015155494,0.00029769202088165,0.00296852521908411
TSS_04174,65.2560138826904,-3.2793199193541,0.762338409680244,-4.30165905024985,1.69524023464309e-05,0.000316742254367525
TSS_04577,69.6447450148537,2.1107420549184,0.526727888360132,4.00727225871749,6.14240427199373e-05,0.00087222140662311
TSS_04921,118.309473645554,2.39989001178483,0.479335544366892,5.00670154756542,5.53706796683092e-07,2.80808446889282e-05
TSS_05090,18546.7678072144,3.07624865110451,0.438939605925735,7.00836427056204,2.41120372282927e-12,4.27988660802195e-10
TSS_06692,64.4899707658387,-3.92821845459421,0.841219071358969,-4.66967355869413,3.01678733602931e-06,9.73599549354913e-05
TSS_06989,386.703102188513,-2.53413752161605,0.470070269189685,-5.39097596192255,7.00760491395495e-08,4.97539948890801e-06
TSS_07468,313.01166252449,2.23621974020814,0.44962950080225,4.97347201688984,6.57642706625107e-07,2.91828951064891e-05
TSS_07588,473.365513788879,2.27735382238213,0.536841165884169,4.24213709213481,2.21401373829484e-05,0.000392987438547334
TSS_08050,89.488653252974,-2.29509537650977,0.580389274173661,-3.95440694485171,7.67247254433239e-05,0.00104758759739923
TSS_08077,144.362979638442,-2.11045236759135,0.546940133995829,-3.8586533267779,0.000114013529832884,0.00139568286519565
TSS_08359,290.780889066166,-2.80066235836682,0.502334536144662,-5.57529326942452,2.47113207617777e-08,2.55718756943004e-06
TSS_08397,179.653473670251,-2.25504628847328,0.515606103173152,-4.37358338971404,1.22223526341722e-05,0.000255231481478302
TSS_08855,297.600954806729,-2.44757072349623,0.520827717508286,-4.69938645970256,2.60944247673247e-06,9.26352079240027e-05
TSS_08928,75.613746838731,-2.66571867627397,0.633702811037303,-4.20657543227632,2.59269569650712e-05,0.00041836680557274
TSS_10486,173.106942781013,2.32603157555013,0.458386135120018,5.07439339311847,3.88734094146756e-07,2.30001005703497e-05
TSS_10532,277.202927225386,2.0232263411025,0.458981972949544,4.40807365069415,1.04294082340442e-05,0.000231402495192855
