,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSS_00201,648.011284507598,-2.8548761898055,0.423102215364809,-6.74748579925057,1.50428954845257e-11,4.70090483891428e-10
TSS_00298,152.979849136817,-2.28539358537238,0.536365653658844,-4.26088726931424,2.03616924810556e-05,0.000209072483714118
TSS_00609,63.9392611713853,2.17275663858314,0.520788385308387,4.1720527951032,3.0186766714918e-05,0.000290257372258827
TSS_00754,51.9835695897384,-3.35906333387959,0.789256162170746,-4.25598619925998,2.08129545269896e-05,0.000209072483714118
TSS_01602,1252.31811386239,-4.09227874179706,0.429311396664357,-9.53219218868413,1.53996370125502e-21,9.62477313284386e-20
TSS_02137,3159.18534546394,-2.73800949481736,0.414224540841329,-6.60996446337101,3.84412291425837e-11,1.06781192062732e-09
TSS_02759,368.281815954958,-2.52084024067691,0.4263542204578,-5.91254904893434,3.36853489631338e-09,7.65576112798495e-08
TSS_03025,1754.94471863367,8.30356398518898,0.402878105536388,20.6106111776258,2.20430973406411e-94,5.51077433516027e-92
TSS_03568,186.804913692183,-3.18867785272412,0.565308357426011,-5.64059917182715,1.69459431708372e-08,3.53040482725774e-07
TSS_03571,179.96403287099,-4.08001221406146,0.623251068322671,-6.54633809941444,5.89650068841695e-11,1.47412517210424e-09
TSS_04174,70.9360315971808,-2.7410282691085,0.658999025543795,-4.15938136910999,3.19110706654018e-05,0.000295472876531498
TSS_04864,10384.7562130756,-2.01907694061065,0.366227785589899,-5.51317245729577,3.52422593353086e-08,6.77735756448242e-07
TSS_05090,31052.6131374003,3.84283038887117,0.387546199261886,9.91579944840165,3.55399735053436e-23,2.96166445877863e-21
TSS_05763,5133.266026408,-2.6315190393955,0.372315937136422,-7.06797312958234,1.57212979272649e-12,6.55054080302704e-11
TSS_07468,1325.00095323896,4.48250887807518,0.391084341652091,11.4617446946081,2.05336204335412e-30,2.56670255419265e-28
TSS_07588,625.721722947914,2.70366018591269,0.384685520900199,7.02823485424116,2.09162629688671e-12,7.47009391745255e-11
TSS_08186,127.653843799024,-2.94444679992473,0.594193211523447,-4.95536930214247,7.21930367736496e-07,1.06166230549485e-05
TSS_08538,307.315377111285,-2.4542361407851,0.458072850385582,-5.35774198082085,8.42684651321341e-08,1.50479402021668e-06
TSS_08803,638.718745833559,2.00221896652286,0.377120857249225,5.30922362960071,1.10093184657126e-07,1.8348864109521e-06
TSS_08855,316.417010911809,-2.15646349707523,0.451580691130418,-4.77536692651111,1.79379878974357e-06,2.36026156545207e-05
TSS_09788,140.924452074985,-2.80849213729376,0.569145161713169,-4.93457965774494,8.03235586697696e-07,1.11560498152458e-05
TSS_10489,453.089655433752,-3.45766778255544,0.432406586225835,-7.99633468290788,1.28177672759122e-15,6.40888363795609e-14
