gene.ID,Base.Mean,log2.FC.,StdErr,Wald.Stats,P.value,P.adj,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V16
vnz_00080,99.84377,-2.39515892,0.4536698,-5.2795198,1.3e-07,1.54e-06,CP018074.1,17937,17938,TSS_00024,65,-,CP018074.1,Genbank,gene,14532,15020,.,+,.,2918
vnz_00140,81.454042,-2.291814253,0.5028418,-4.5577241,5.17e-06,4.16e-05,CP018074.1,28187,28188,TSS_00027,48,+,CP018074.1,Genbank,gene,30415,31074,.,-,.,2227
vnz_00235,73.801216,-2.730319988,0.5272773,-5.1781481,2.24e-07,2.53e-06,CP018074.1,56427,56428,TSS_00036,2168,-,CP018074.1,Genbank,gene,52914,54080,.,+,.,2348
vnz_00640,343.95108,-3.240480685,0.4949827,-6.5466542,5.88e-11,1.32e-09,CP018074.1,145074,145075,TSS_00079,154,-,CP018074.1,Genbank,gene,140917,142437,.,+,.,2638
vnz_00640,343.95108,-3.240480685,0.4949827,-6.5466542,5.88e-11,1.32e-09,CP018074.1,143774,143775,TSS_00078,82,-,CP018074.1,Genbank,gene,140917,142437,.,+,.,1338
vnz_01210,846.8743,3.339289525,0.3369333,9.9108313,3.74e-23,5.14e-21,CP018074.1,267121,267122,TSS_00133,36,+,CP018074.1,Genbank,gene,267562,267930,.,-,.,440
vnz_01260,640.38867,-2.101147683,0.4205683,-4.9959728,5.85e-07,6.01e-06,CP018074.1,279820,279821,TSS_00148,3043,-,CP018074.1,Genbank,gene,276751,278220,.,+,.,1601
vnz_01265,988.06327,-2.581572964,0.3651459,-7.0699774,1.55e-12,4.44e-11,CP018074.1,279312,279313,TSS_00146,39,+,CP018074.1,Genbank,gene,278304,279797,.,-,.,1
vnz_01265,988.06327,-2.581572964,0.3651459,-7.0699774,1.55e-12,4.44e-11,CP018074.1,276696,276697,TSS_00144,744,+,CP018074.1,Genbank,gene,278304,279797,.,-,.,1607
vnz_01280,953.15588,-2.60140926,0.4020971,-6.4696043,9.83e-11,2.08e-09,CP018074.1,290648,290649,TSS_00161,359,-,CP018074.1,Genbank,gene,283605,285791,.,+,.,4858
vnz_01280,953.15588,-2.60140926,0.4020971,-6.4696043,9.83e-11,2.08e-09,CP018074.1,290017,290018,TSS_00159,135,-,CP018074.1,Genbank,gene,283605,285791,.,+,.,4227
vnz_01280,953.15588,-2.60140926,0.4020971,-6.4696043,9.83e-11,2.08e-09,CP018074.1,285714,285715,TSS_00157,40,-,CP018074.1,Genbank,gene,283605,285791,.,+,.,1
vnz_01280,953.15588,-2.60140926,0.4020971,-6.4696043,9.83e-11,2.08e-09,CP018074.1,286783,286784,TSS_00158,141,-,CP018074.1,Genbank,gene,283605,285791,.,+,.,993
vnz_01330,80.645552,-4.738929124,0.7399019,-6.4048071,1.51e-10,3.05e-09,CP018074.1,296853,296854,TSS_00162,33,+,CP018074.1,Genbank,gene,296570,296983,.,-,.,1
vnz_01635,419.76443,2.468479215,0.3525479,7.0018271,2.53e-12,6.94e-11,CP018074.1,371738,371739,TSS_00211,134,+,CP018074.1,Genbank,gene,372655,372954,.,-,.,916
vnz_01840,64.765119,4.168131748,0.4403353,9.4658124,2.91e-21,2.94e-19,CP018074.1,416733,416734,TSS_00257,885,-,CP018074.1,Genbank,gene,415346,415789,.,+,.,945
vnz_01845,86.861126,-2.006934852,0.4811541,-4.1710857,3.03e-05,0.0001921,CP018074.1,415601,415602,TSS_00256,91,+,CP018074.1,Genbank,gene,416090,416734,.,-,.,488
vnz_01845,86.861126,-2.006934852,0.4811541,-4.1710857,3.03e-05,0.0001921,CP018074.1,415304,415305,TSS_00253,1395,+,CP018074.1,Genbank,gene,416090,416734,.,-,.,785
vnz_01845,86.861126,-2.006934852,0.4811541,-4.1710857,3.03e-05,0.0001921,CP018074.1,415450,415451,TSS_00255,42,+,CP018074.1,Genbank,gene,416090,416734,.,-,.,639
vnz_01845,86.861126,-2.006934852,0.4811541,-4.1710857,3.03e-05,0.0001921,CP018074.1,415353,415354,TSS_00254,87,+,CP018074.1,Genbank,gene,416090,416734,.,-,.,736
vnz_02255,450.05885,2.791029674,0.3915121,7.1288457,1.01e-12,2.98e-11,CP018074.1,515636,515637,TSS_00382,549,-,CP018074.1,Genbank,gene,513371,514348,.,+,.,1289
vnz_02640,870.04131,-3.698429991,0.3519849,-10.507354,7.99e-26,1.34e-23,CP018074.1,632681,632682,TSS_00414,56,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,1472
vnz_02640,870.04131,-3.698429991,0.3519849,-10.507354,7.99e-26,1.34e-23,CP018074.1,633032,633033,TSS_00417,41,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,1121
vnz_02640,870.04131,-3.698429991,0.3519849,-10.507354,7.99e-26,1.34e-23,CP018074.1,632804,632805,TSS_00415,72,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,1349
vnz_02640,870.04131,-3.698429991,0.3519849,-10.507354,7.99e-26,1.34e-23,CP018074.1,632830,632831,TSS_00416,32,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,1323
vnz_02645,269.19006,-4.269632685,0.4496098,-9.4963079,2.17e-21,2.22e-19,CP018074.1,635821,635822,TSS_00419,55,+,CP018074.1,Genbank,gene,635677,636300,.,-,.,1
vnz_02650,195.60331,-4.086233485,0.4734675,-8.6304419,6.11e-18,3.63e-16,CP018074.1,635821,635822,TSS_00419,55,+,CP018074.1,Genbank,gene,636281,636637,.,-,.,459
vnz_02660,1294.7454,-4.451107903,0.3411964,-13.04559,6.73e-39,3.81e-36,CP018074.1,637071,637072,TSS_00445,37,+,CP018074.1,Genbank,gene,637043,638545,.,-,.,1
vnz_02660,1294.7454,-4.451107903,0.3411964,-13.04559,6.73e-39,3.81e-36,CP018074.1,637973,637974,TSS_00447,34,+,CP018074.1,Genbank,gene,637043,638545,.,-,.,1
vnz_02660,1294.7454,-4.451107903,0.3411964,-13.04559,6.73e-39,3.81e-36,CP018074.1,638534,638535,TSS_00449,53,+,CP018074.1,Genbank,gene,637043,638545,.,-,.,1
vnz_02660,1294.7454,-4.451107903,0.3411964,-13.04559,6.73e-39,3.81e-36,CP018074.1,638011,638012,TSS_00448,44,+,CP018074.1,Genbank,gene,637043,638545,.,-,.,1
vnz_02665,64.120886,-2.3131874,0.5281341,-4.3799247,1.19e-05,8.59e-05,CP018074.1,638534,638535,TSS_00449,53,+,CP018074.1,Genbank,gene,638865,640229,.,-,.,330
vnz_02665,64.120886,-2.3131874,0.5281341,-4.3799247,1.19e-05,8.59e-05,CP018074.1,637071,637072,TSS_00445,37,+,CP018074.1,Genbank,gene,638865,640229,.,-,.,1793
vnz_02665,64.120886,-2.3131874,0.5281341,-4.3799247,1.19e-05,8.59e-05,CP018074.1,638011,638012,TSS_00448,44,+,CP018074.1,Genbank,gene,638865,640229,.,-,.,853
vnz_02665,64.120886,-2.3131874,0.5281341,-4.3799247,1.19e-05,8.59e-05,CP018074.1,637973,637974,TSS_00447,34,+,CP018074.1,Genbank,gene,638865,640229,.,-,.,891
vnz_02780,110.88775,-3.289653379,0.5857044,-5.616576,1.95e-08,2.7e-07,CP018074.1,652793,652794,TSS_00460,89,+,CP018074.1,Genbank,gene,670527,671909,.,-,.,17733
vnz_02780,110.88775,-3.289653379,0.5857044,-5.616576,1.95e-08,2.7e-07,CP018074.1,667531,667532,TSS_00465,246,+,CP018074.1,Genbank,gene,670527,671909,.,-,.,2995
vnz_02780,110.88775,-3.289653379,0.5857044,-5.616576,1.95e-08,2.7e-07,CP018074.1,663750,663751,TSS_00463,378,+,CP018074.1,Genbank,gene,670527,671909,.,-,.,6776
vnz_02915,171.98688,2.916021929,0.4326959,6.7391949,1.59e-11,3.87e-10,CP018074.1,702535,702536,TSS_00485,1149,+,CP018074.1,Genbank,gene,702440,706429,.,-,.,1
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76e-08,1.18e-06,CP018074.1,774685,774686,TSS_00527,122,-,CP018074.1,Genbank,gene,762436,763641,.,+,.,11045
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76e-08,1.18e-06,CP018074.1,773722,773723,TSS_00526,139,-,CP018074.1,Genbank,gene,762436,763641,.,+,.,10082
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76e-08,1.18e-06,CP018074.1,773665,773666,TSS_00523,376,-,CP018074.1,Genbank,gene,762436,763641,.,+,.,10025
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76e-08,1.18e-06,CP018074.1,770716,770717,TSS_00518,284,-,CP018074.1,Genbank,gene,762436,763641,.,+,.,7076
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76e-08,1.18e-06,CP018074.1,775276,775277,TSS_00531,262,-,CP018074.1,Genbank,gene,762436,763641,.,+,.,11636
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76e-08,1.18e-06,CP018074.1,773418,773419,TSS_00520,202,-,CP018074.1,Genbank,gene,762436,763641,.,+,.,9778
vnz_03105,64.039834,2.444322115,0.458506,5.3310575,9.76e-08,1.18e-06,CP018074.1,773511,773512,TSS_00522,891,-,CP018074.1,Genbank,gene,762436,763641,.,+,.,9871
vnz_04045,612.02596,-5.644294252,0.3911496,-14.430013,3.35e-47,4.93e-44,CP018074.1,965722,965723,TSS_00684,535,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,553
vnz_04045,612.02596,-5.644294252,0.3911496,-14.430013,3.35e-47,4.93e-44,CP018074.1,965733,965734,TSS_00686,78,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,564
vnz_04045,612.02596,-5.644294252,0.3911496,-14.430013,3.35e-47,4.93e-44,CP018074.1,965115,965116,TSS_00680,58,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,1
vnz_04045,612.02596,-5.644294252,0.3911496,-14.430013,3.35e-47,4.93e-44,CP018074.1,965132,965133,TSS_00682,88,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,1
vnz_04045,612.02596,-5.644294252,0.3911496,-14.430013,3.35e-47,4.93e-44,CP018074.1,965016,965017,TSS_00678,52,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,1
vnz_04225,168.47385,2.683710089,0.4445567,6.0368235,1.57e-09,2.68e-08,CP018074.1,1010489,1010490,TSS_00714,75,-,CP018074.1,Genbank,gene,1008717,1009157,.,+,.,1333
vnz_04580,73.388495,-2.926349724,0.662385,-4.4178985,9.97e-06,7.33e-05,CP018074.1,1078701,1078702,TSS_00751,31,-,CP018074.1,Genbank,gene,1075551,1076198,.,+,.,2504
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1099411,1099412,TSS_00795,65,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,1127
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1100175,1100176,TSS_00800,65,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,363
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1099760,1099761,TSS_00796,40,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,778
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1100193,1100194,TSS_00801,35,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,345
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1099936,1099937,TSS_00798,67,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,602
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1099381,1099382,TSS_00793,88,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,1157
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1099403,1099404,TSS_00794,81,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,1135
vnz_04700,164.80909,3.549721744,0.3868724,9.1754336,4.5e-20,3.45e-18,CP018074.1,1099911,1099912,TSS_00797,44,+,CP018074.1,Genbank,gene,1100539,1101147,.,-,.,627
