gene.ID,Base.Mean,log2.FC.,StdErr,Wald.Stats,P.value,P.adj,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V16
vnz_00640,343.95108,3.7792998,0.5278882,7.1592804,8.11e-13,2.81e-11,CP018074.1,145074,145075,TSS_00069,96,-,CP018074.1,Genbank,gene,140917,142437,.,+,.,2638
vnz_01015,248.65007,4.3673659,0.4568635,9.5594549,1.18e-21,9.31e-20,CP018074.1,228373,228374,TSS_00109,33,-,CP018074.1,Genbank,gene,227918,229297,.,+,.,1
vnz_01210,846.8743,6.3746404,0.4607273,13.836038,1.54e-43,9.11e-41,CP018074.1,267121,267122,TSS_00126,45,+,CP018074.1,Genbank,gene,267562,267930,.,-,.,440
vnz_01490,51.738734,4.9518903,0.7620284,6.4983013,8.12e-11,2.16e-09,CP018074.1,336666,336667,TSS_00184,33,+,CP018074.1,Genbank,gene,336934,338124,.,-,.,267
vnz_01525,83.563538,3.387596,0.4916914,6.8896794,5.59e-12,1.73e-10,CP018074.1,343356,343357,TSS_00188,180,+,CP018074.1,Genbank,gene,346639,348036,.,-,.,3282
vnz_01565,122.31306,4.7458953,0.5817444,8.1580419,3.4e-16,1.75e-14,CP018074.1,356254,356255,TSS_00192,55,+,CP018074.1,Genbank,gene,356634,358004,.,-,.,379
vnz_01565,122.31306,4.7458953,0.5817444,8.1580419,3.4e-16,1.75e-14,CP018074.1,351613,351614,TSS_00191,452,+,CP018074.1,Genbank,gene,356634,358004,.,-,.,5020
vnz_01635,419.76443,7.545157,0.6585274,11.457621,2.15e-30,3.63e-28,CP018074.1,371738,371739,TSS_00200,129,+,CP018074.1,Genbank,gene,372655,372954,.,-,.,916
vnz_01740,58.191811,2.3248858,0.6357254,3.65706,0.0002551,0.002059,CP018074.1,395291,395292,TSS_00221,195,+,CP018074.1,Genbank,gene,396091,397266,.,-,.,799
vnz_01760,71.851499,4.4903822,0.6349298,7.0722497,1.52e-12,5.07e-11,CP018074.1,401864,401865,TSS_00225,135,+,CP018074.1,Genbank,gene,404720,404881,.,-,.,2855
vnz_01840,64.765119,2.6989481,0.6942083,3.8878073,0.0001012,0.0009226,CP018074.1,416733,416734,TSS_00240,697,-,CP018074.1,Genbank,gene,415346,415789,.,+,.,945
